front,back,hint,publishedAt
"die Betreuung","the care, the support, the supervision","In der Seniorenresidenz gibt es eine umfassende Betreuung für die Bewohner.\nDie Betreuung der Kinder erfolgt durch erfahrene Erzieher.\nMeine Großmutter braucht eine professionelle Betreuung.","2025-10-31T18:02:56.976Z"
"verfahren","to proceed, to act","Wie sollen wir in dieser Situation verfahren?","2025-11-06T13:57:25.794Z"
"die erforderlichen Mittel","the required resources, the wherewithal","Die Regierung hat die erforderlichen Mittel bereitgestellt, um das Projekt zu finanzieren.\nOhne die erforderlichen Mittel können wir das Vorhaben nicht umsetzen.\nEs ist wichtig, die erforderlichen Mittel zu sichern, bevor wir mit der Arbeit beginnen.","2025-11-09T23:39:05.252Z"
"schaden","to damage, to hurt (describes the act of causing injury or loss to someone or something)","Es schadet nicht, früh ins Bett zu gehen.\nDas Rauchen schadet der Gesundheit.\nDer Sturm hat viele Bäume geschadet.","2025-11-06T13:57:26.359Z"
"gerechtfertigt","justified, warranted","Es ist wichtig, dass wir unsere Handlungen gerechtfertigt erklären können.\nDie Maßnahmen der Regierung sind nicht gerechtfertigt, wenn sie die Freiheit der Bürger einschränken.\nEs gibt viele Gründe, die sein Verhalten gerechtfertigt haben.","2025-11-06T13:57:28.630Z"
"das Aufputschmittel","the stimulant","Sportler verwenden manchmal Aufputschmittel, um ihre Leistung zu steigern.\nÄrzte warnen vor den Gefahren des Missbrauchs von Aufputschmitteln.\nViele Studenten greifen während der Prüfungszeit zu Aufputschmitteln, um länger wach zu bleiben.","2025-09-20T12:20:01.810Z"
"unwirksam","ineffective, invalid","Sein Versuch, das Problem zu lösen, war leider unwirksam.\nDie neuen Regeln sind unwirksam, da sie nicht beachtet werden.\nDie alte Methode zur Behandlung war unwirksam und brachte keine Verbesserung.","2025-11-06T13:57:24.848Z"
"sich zutragen","(reflexive) to occur, to happen","Es trug sich zu, dass die beiden Freunde sich nach vielen Jahren wieder trafen.\nWas sich gestern Abend zutragen hat, war sehr überraschend.\nIn jener dunklen Nacht trug sich eine seltsame Geschichte zu.","2025-11-09T23:39:06.583Z"
"aussagen","to state, to declare, to express","Er hat in der Sitzung viele wichtige Dinge ausgesagt.\nKannst du mir bitte deine Meinung zu diesem Thema aussagen?\nDie Zeugin hat ausgesagt, dass sie den Angeklagten gesehen hat.","2025-11-06T13:57:25.137Z"
"das Eiweiß","the egg white, the protein","In diesem Rezept musst du das Eiweiß und das Eigelb getrennt verarbeiten.\nDas Eiweiß enthält viel Protein und ist gesund für den Körper.\nIch schlage das Eiweiß steif, um einen Baiser zu machen.","2025-09-29T22:48:54.099Z"
"gelassen","calm, composed, relaxed","In stressigen Momenten versuche ich, gelassen zu bleiben.\nEr hat eine gelassene Art, die andere beruhigt.\nSie blieb gelassen, obwohl die Situation schwierig war.","2025-09-03T22:16:20.591Z"
"demzufolge","consequently, therefore","Die Umfrage zeigt, dass die Mehrheit der Befragten unzufrieden ist, demzufolge müssen wir etwas ändern.\nDie Preise sind gestiegen, demzufolge müssen wir unser Budget anpassen.\nEr hat den Test nicht bestanden, demzufolge muss er die Prüfung wiederhole","2025-09-29T22:48:52.613Z"
"vor Ort","on site, in person","Die Veranstaltung findet vor Ort im Stadtzentrum statt.\nWir bieten Schulungen vor Ort an, damit die Mitarbeiter direkt lernen können.\nDie Techniker sind vor Ort, um das Problem zu lösen.","2025-11-09T23:39:10.367Z"
"anvertrauen","to entrust, to confide (to entrust someone with something personal, valuable, or confidential)","Er vertraut seiner besten Freundin alles an.\nSie hat ihm ihre Sorgen anvertraut.\nIch möchte dir ein Geheimnis anvertrauen.","2025-11-06T13:57:27.600Z"
"abgesprochen","agreed upon, arranged","Es ist wichtig, dass wir uns vorher abgesprochen haben.\nDie Details wurden in einem Meeting abgesprochen.\nWir haben alles im Voraus abgesprochen.","2025-10-31T18:02:58.916Z"
"der Verzicht","the renunciation, the waiver, the act of giving something up(refers to the act of giving up or refraining from something, often voluntarily)","Sie hat ihren Verzicht auf das Erbe erklärt.\nDer Verzicht auf das Auto kann die Umwelt schützen.\nEr hat auf das Dessert verzichtet, um gesünder zu leben.","2025-09-29T22:59:41.528Z"
"das Gebiet","the area, the territory, the field (This word is commonly used to refer to a specific space, territory, or field of study)","Das Gebiet der künstlichen Intelligenz ist sehr interessant.\nIch habe mich auf das Gebiet der Biologie spezialisiert.\nDas Gebiet um den Fluss ist sehr schön.\n(Gebiete)","2025-11-06T13:57:23.939Z"
"die Stellungnahme","the opinion (official position)","Die Lehrerin bat die Schüler, eine Stellungnahme zu dem aktuellen Thema zu schreiben.","2025-08-04T22:57:36.664Z"
"auf jemanden oder etwas hören","to listen to someone or something","Es ist wichtig, auf die Warnungen der Meteorologen zu hören.\nWenn du auf die Musik hörst, kannst du die verschiedenen Instrumente erkennen.\nDie Kinder müssen auf die Lehrerin hören.","2025-09-09T20:37:36.791Z"
"das Kulturerbe","the cultural heritage","Wir sollten unser Kulturerbe schützen, damit zukünftige Generationen es erleben können.\nDas Kulturerbe der Stadt wird durch zahlreiche Museen und historische Gebäude bewahrt.\nDas Kulturerbe unserer Stadt ist sehr reich.","2025-11-09T23:39:10.686Z"
"die Verabredung","the appointment, the arrangement (refers to a planned meeting or agreement between people)","Ich muss meine Verabredung absagen.\nWir haben eine Verabredung für nächste Woche.\nIch habe eine Verabredung mit meinem Freund.","2025-11-09T23:39:07.904Z"
"das Mittel","the means, the resources, the medium, the remedy","Wir müssen die finanziellen Mittel für das Projekt sichern.\nDie Ärzte haben ein neues Mittel gegen die Krankheit gefunden.\nUm das Problem zu lösen, brauchen wir ein effektives Mittel.\n(die Mittel)","2025-11-09T23:39:05.566Z"
"die Zustellung","the delivery (refers to the act of delivering something, often used in the context of mail, packages, or documents)","Die Zustellung kann manchmal länger dauern als erwartet.\nIch habe eine Benachrichtigung über die Zustellung erhalten.\nDie Zustellung des Pakets erfolgt morgen.","2025-10-31T18:03:00.564Z"
"zugehen","to approach, for things to occur a certain way","Die Situation geht auf eine positive Lösung zu.\nIch gehe zur Tür und lasse sie langsam zugehen.\nEr ging auf die Tür zu.\nDas Kind ging auf seinen Vater zu.\nWie geht es hier zu?\nEs ging ziemlich chaotisch zu.\nDas Problem geht mir nicht aus dem Kopf zu.","2025-11-06T13:57:23.623Z"
"der Besitz","the possession, the ownership, the property","Sie möchte ihren Besitz vergrößern, indem sie ein Haus kauft.\nDer Besitz von Land ist in vielen Kulturen sehr wichtig.\nEr hat den Besitz eines neuen Autos.\nDer Besitz eines Hauses ist eine große Verantwortung.","2025-11-06T13:57:27.004Z"
"ausgerechnet","of all things, of all people (used to express surprise or disappointment about a specific person or situation that is unexpected or ironic)","Ausgerechnet das teuerste Restaurant mussten sie wählen.\nAusgerechnet er hat den Job bekommen.\nAusgerechnet heute muss es regnen!\nWarum musste ausgerechnet er das sagen?\nIch habe ausgerechnet an meinem Geburtstag die Prüfung.","2025-11-09T23:39:05.918Z"
"verhungert","starved","Die Tiere im Zoo waren so schlecht ernährt, dass sie fast verhungert sind.\nEr fühlte sich, als ob er vor Hunger verhungert.\nDie Kinder in der Krisenregion sind verhungert.","2025-11-09T23:39:04.921Z"
"die Ablehnung","the rejection, the refusal (used to describe the act of declining or dismissing something, such as an offer, proposal, or request)","Die Ablehnung ihrer Idee führte zu einer langen Diskussion.\nEr erhielt eine schriftliche Ablehnung von der Universität.\nDie Ablehnung des Vorschlags kam überraschend.","2025-11-09T23:39:04.530Z"
"die Technik","the technology, the technique (refers to the methods, processes, or skills used in a particular field, especially in science and engineering)","Die Technik hinter diesem Prozess ist sehr kompliziert.\nDie Technik des 3D-Drucks ermöglicht es, komplexe Objekte herzustellen.\nDie moderne Technik hat unser Leben in vielen Bereichen verändert.","2025-08-17T22:24:45.261Z"
"gehaltvoll","substantial, meaningful (often used to describe something that has a lot of content, depth, or significance)","Seine Rede war gehaltvoll und inspirierte das Publikum.\nDie Diskussion war gehaltvoll und brachte viele neue Perspektiven.\nDas Buch war sehr gehaltvoll und regte zum Nachdenken an.","2025-09-30T22:48:56.612Z"
"schweifen","to wander, to roam (describes the action of moving around without a specific destination, often in a leisurely or aimless manner)","Er liebt es, am Wochenende durch die Stadt zu schweifen.\nDie Kinder schweifen im Park umher und spielen.\nIch liebe es, im Wald zu schweifen.","2025-08-19T13:14:54.540Z"
"gewappnet","armed, prepared (used in a figurative sense to indicate that someone is ready to face challenges or difficulties)","Sie war gewappnet für das Gespräch und hatte alle Argumente parat.\nDie Feuerwehr ist gewappnet für den Brand, mit allen notwendigen Geräten.\nEr fühlte sich gewappnet für die Prüfung, da er gut gelernt hatte.","2025-08-18T22:33:40.046Z"
"das Seil","the rope (smaller rope)","Ich habe das Seil um den Baum gebunden, damit er nicht umfällt.\nDie Bergsteiger benutzen Seile, um den Berg zu erklimmen.\nIch habe ein Seil gekauft, um meine Sachen zu sichern.\n(die Seile)","2025-09-03T22:16:08.319Z"
"einerseits","on the one hand","Einerseits ist das Essen teuer, andererseits ist die Qualität sehr hoch.\nEinerseits möchte ich ins Kino gehen, andererseits habe ich viel zu tun.\nEinerseits ist das Wetter schön, andererseits könnte es bald regnen.","2025-09-17T21:28:03.678Z"
"freigeben","to release, to make available, to share (a file)","Die Stadt hat den Park für die Öffentlichkeit freigegeben.\nBitte gib das Dokument frei, damit alle darauf zugreifen können.\nDer Lehrer hat die Aufgaben für die Schüler freigegeben.","2025-08-17T22:24:41.619Z"
